Wavelength_nm,SPD_W_sr_m2_nm,x_bar,y_bar,z_bar,S_x_x_bar,S_x_y_bar,S_x_z_bar
758,6.43000000e-06,1.90840500e-04,6.89160000e-05,0.00000000e+00,1.22710441e-09,4.43129880e-10,0.00000000e+00
759,6.89000000e-06,1.78065400e-04,6.43026700e-05,0.00000000e+00,1.22687061e-09,4.43045396e-10,0.00000000e+00
760,6.82000000e-06,1.66150500e-04,6.00000000e-05,0.00000000e+00,1.13314641e-09,4.09200000e-10,0.00000000e+00
761,7.94000000e-06,1.55023600e-04,5.59818700e-05,0.00000000e+00,1.23088738e-09,4.44496048e-10,0.00000000e+00
762,5.48000000e-06,1.44621900e-04,5.22256000e-05,0.00000000e+00,7.92528012e-10,2.86196288e-10,0.00000000e+00
763,6.34000000e-06,1.34909800e-04,4.87184000e-05,0.00000000e+00,8.55328132e-10,3.08874656e-10,0.00000000e+00
764,6.62000000e-06,1.25852000e-04,4.54474700e-05,0.00000000e+00,8.33140240e-10,3.00862251e-10,0.00000000e+00
765,6.15000000e-06,1.17413000e-04,4.24000000e-05,0.00000000e+00,7.22089950e-10,2.60760000e-10,0.00000000e+00
766,6.42000000e-06,1.09551500e-04,3.95610400e-05,0.00000000e+00,7.03320630e-10,2.53981877e-10,0.00000000e+00
767,7.27000000e-06,1.02224500e-04,3.69151200e-05,0.00000000e+00,7.43172115e-10,2.68372922e-10,0.00000000e+00
768,7.09000000e-06,9.53944500e-05,3.44486800e-05,0.00000000e+00,6.76346650e-10,2.44241141e-10,0.00000000e+00
769,6.23000000e-06,8.90239000e-05,3.21481600e-05,0.00000000e+00,5.54618897e-10,2.00283037e-10,0.00000000e+00
770,6.73000000e-06,8.30752700e-05,3.00000000e-05,0.00000000e+00,5.59096567e-10,2.01900000e-10,0.00000000e+00
771,6.13000000e-06,7.75126900e-05,2.79912500e-05,0.00000000e+00,4.75152790e-10,1.71586363e-10,0.00000000e+00
772,6.30000000e-06,7.23130400e-05,2.61135600e-05,0.00000000e+00,4.55572152e-10,1.64515428e-10,0.00000000e+00
773,6.35000000e-06,6.74577800e-05,2.43602400e-05,0.00000000e+00,4.28356903e-10,1.54687524e-10,0.00000000e+00
774,5.50000000e-06,6.29284400e-05,2.27246100e-05,0.00000000e+00,3.46106420e-10,1.24985355e-10,0.00000000e+00
775,8.05000000e-06,5.87065200e-05,2.12000000e-05,0.00000000e+00,4.72587486e-10,1.70660000e-10,0.00000000e+00
776,6.99000000e-06,5.47702800e-05,1.97785500e-05,0.00000000e+00,3.82844257e-10,1.38252065e-10,0.00000000e+00
777,7.56000000e-06,5.10991800e-05,1.84528500e-05,0.00000000e+00,3.86309801e-10,1.39503546e-10,0.00000000e+00
778,7.17000000e-06,4.76765400e-05,1.72168700e-05,0.00000000e+00,3.41840792e-10,1.23444958e-10,0.00000000e+00
779,8.10000000e-06,4.44856700e-05,1.60645900e-05,0.00000000e+00,3.60333927e-10,1.30123179e-10,0.00000000e+00
780,8.88000000e-06,4.15099400e-05,1.49900000e-05,0.00000000e+00,3.68608267e-10,1.33111200e-10,0.00000000e+00
